"VAR2","VAR3","REGION","N","Avg_DBH","Min_DBH","Max_DBH","SD(PE)","SD(PE%)","MEAN(PE)","MEAN(PE%)","MEAN(APE)","MEAN(APE%)","SIGMA","RMSE","FI"
"Merch Stem Wood Volume","ST_WD_CV_MER","Northeastern_States",9274,13.6052188915247,5,38.6,5.71601689425524,12.5762329603397,-1.02284620707696,-1.68408827747162,3.39103700202247,9.48545470503057,0.303156612261958,5.80650845515154,0.97378779901358
"Merch Stem Wood+Bark Volume","ST_WDBK_CV_MER","Northeastern_States",12842,13.34840367544,5,44.3,7.16160481947504,13.2292868050389,-0.617364522306509,-0.522060555233984,3.71965566873831,9.60616753749547,0.340061273048691,7.18788764017957,0.97160392296121
"Sawlog Bark Volume","ST_BK_CV_SAW","Northeastern_States",6201,16.3684889533946,9,38.6,2.50734114996499,75.7944589528236,0.0124357076881964,15.2595758672678,1.45910179326744,31.9739850268679,0.122190627896077,2.50716981059595,0.817399283157557
"Sawlog Wood Volume","ST_WD_CV_SAW","Northeastern_States",6201,16.3684889533946,9,38.6,7.24811153880816,15.9610859155687,-1.69475427415741,-1.76819408392722,5.02805681549979,11.6500973414919,0.385366091677496,7.44303976132356,0.95849314846348
"Sawlog Wood+Bark Volume","ST_WDBK_CV_SAW","Northeastern_States",8334,16.2637868970482,9,44.3,9.18383644624867,16.2559864462392,-1.29957918146027,-1.05720540670627,5.69554864036616,11.8466698032573,0.440077058602412,9.27478504266985,0.957358728564027
"Stump Bark Volume","SP_BK_CV","Northeastern_States",9621,13.0753040224509,1,38.6,0.106983957179026,138.927242489127,0.0556719837209461,47.7472061878886,0.0691010043541663,56.1686422235276,0.00599686367420889,0.120597459429639,0.188757654907564
"Stump Wood Volume","SP_WD_CV","Northeastern_States",9711,13.0388631448872,1,38.6,0.424926392880113,23.098276190125,0.150349063924657,12.7708280831532,0.270973895253835,20.2782395787106,0.0232716248206669,0.450720186801278,0.843044764790625
"Stump Wood+Bark Volume","SP_WDBK_CV","Northeastern_States",13533,12.7491908667701,1,44.3,0.47412130065503,22.5816080285169,0.168052406362198,13.4061768717058,0.291407655320347,20.1941526282787,0.0254037011975256,0.503006966588764,0.856105180149184
"Total Stem Bark Volume","ST_BK_CV_TOT","Northeastern_States",9931,12.9628033430672,1,38.6,2.16683001707448,67.9753983911018,0.0719790757844697,14.4415204356519,1.09092641478652,28.9317060356785,0.11144535310072,2.16791617292954,0.849602408740872
"Total Stem Wood Volume","ST_WD_CV_TOT","Northeastern_States",10021,12.9285001496857,1,38.6,5.55810827975849,11.8582615236033,-0.68534101351494,-0.548763391592932,3.14419799611657,8.85119753702024,0.29172803784429,5.59992653267923,0.976792506274361
"Total Stem Wood+Bark Volume","ST_WDBK_CV_TOT","Northeastern_States",13843,12.6757855956079,1,44.3,6.96778749538742,11.8376506398175,-0.317680556989816,0.414299047631848,3.43443176814574,8.77543818748489,0.326876007485558,6.97477428487099,0.974293802970711
"Stump Wood Volume","SP_WD_CV","Eastern_OR",1542,13.6909857328145,1,72,0.432780239887063,22.3408298537723,-0.0205408219546923,8.3692925446934,0.204928508746634,18.4766292782586,0.016871767579009,0.433127229107009,0.960579954813799
"Total Stem Wood Volume","ST_WD_CV_TOT","Eastern_OR",1542,13.6909857328145,1,72,16.4597820487537,10.496332284549,-3.03310639529004,-1.38383026569302,5.72121690997492,8.03070088138695,0.463748200802116,16.7316604891414,0.984728964270384
"Stump Wood Volume","SP_WD_CV","CA_Other_Forest_Groups",1978,18.2907987866532,1.9,62.5,0.503747074944834,18.4515689542542,-0.032729928600051,2.30011763802698,0.299316194997647,14.5034871380305,0.0191914907088971,0.504682149450962,0.949466629894398
"Total Stem Wood Volume","ST_WD_CV_TOT","CA_Other_Forest_Groups",1979,18.2982819605862,1.9,62.5,19.9883325267256,12.1935073379583,-0.976529466317389,1.16883798141234,7.95666774445461,9.12852573220405,0.53115535373518,20.0071277416427,0.975598053934797
"Stump Wood Volume","SP_WD_CV","CA_Mixed_Conifer_Group",2282,15.1394829097283,1.1,64.5,0.462324330271479,20.3672000030599,0.0205784219159779,3.00463952553153,0.242455932017171,15.2935740963618,0.0181918499321871,0.462680875655331,0.950310419529921
"Total Stem Wood Volume","ST_WD_CV_TOT","CA_Mixed_Conifer_Group",2297,15.1164127122333,1.1,64.5,18.002219639296,12.7736088282956,0.391750526049406,0.417335986166796,6.05038640457477,9.42761850186626,0.468653660504518,18.0025634863013,0.975251515188086
"Merch Stem Bark Volume","ST_BK_CV_MER","CA_Other_Forest_Groups",1734,17.7089388696655,5,50.9,5.97137536824864,45.1016962956543,0.667977899289044,16.5713155243964,3.30802200003193,28.3653544435393,0.230367804691439,6.00690890879797,0.890887394548963
"Merch Stem Wood Volume","ST_WD_CV_MER","CA_Other_Forest_Groups",1734,17.7089388696655,5,50.9,11.7013835546314,13.0079410121743,-0.0307011658476348,1.3733332568684,6.22725046017578,9.49357411313064,0.433328292908334,11.698049253854,0.979012552096107
"Merch Stem Wood+Bark Volume","ST_WDBK_CV_MER","CA_Other_Forest_Groups",1783,17.66399326977,5,50.9,12.3808133246816,11.3784104243315,0.568554530954098,1.93586861356119,6.49072397132162,8.2735287236224,0.455286405850965,12.3903923593748,0.983233571161623
"Sawlog Bark Volume","ST_BK_CV_SAW","CA_Other_Forest_Groups",1544,19.0198186528497,9,50.9,6.29429147774347,47.5723898127564,0.639446289481919,16.3640323198058,3.6355225840427,29.2350849496955,0.240725884498296,6.32466104778448,0.882701265546369
"Sawlog Wood Volume","ST_WD_CV_SAW","CA_Other_Forest_Groups",1544,19.0198186528497,9,50.9,12.5130726503702,13.5683209804952,-0.194519530302103,1.36646757113151,7.05575555602175,9.96345845164126,0.465137036758608,12.5105321643541,0.976557075519329
"Sawlog Wood+Bark Volume","ST_WDBK_CV_SAW","CA_Other_Forest_Groups",1584,18.9962121212121,9,50.9,13.3067349993722,12.0834466848309,0.371019881179887,1.6383138132336,7.41014275301538,8.75892359582512,0.491619470337747,13.3077070146192,0.981066095932926
"Stump Bark Volume","SP_BK_CV","CA_Other_Forest_Groups",1771,17.4218520609825,1.9,50.9,0.295709578111381,55.1816947197163,-0.15298241730354,-5.46165433829165,0.215013722590774,38.7327804033329,0.0143149016711029,0.33286393467825,0.665164897402594
"Stump Wood+Bark Volume","SP_WDBK_CV","CA_Other_Forest_Groups",1821,17.3785282811642,1.9,50.9,0.506584747037208,15.6222797406044,-0.215350437366393,-4.21487966315868,0.333464953526237,12.7918257740773,0.0233722840068442,0.550329891776987,0.934464079417743
"Total Stem Bark Volume","ST_BK_CV_TOT","CA_Other_Forest_Groups",1772,17.4306997742664,1.9,50.9,6.06009113779163,45.2655545049278,0.527272728269912,16.183483553751,3.33984700821828,28.3853910401506,0.234408493746059,6.08128244087732,0.893942075368139
"Total Stem Wood+Bark Volume","ST_WDBK_CV_TOT","CA_Other_Forest_Groups",1822,17.3871569703622,1.9,50.9,12.291760463585,10.3345497654524,0.425297191200511,1.76243596004355,6.37640172415983,7.70769187764844,0.452245677539898,12.2957443483022,0.984104648966759
"Merch Stem Bark Volume","ST_BK_CV_MER","CA_Mixed_Conifer_Group",1845,14.9651490514905,5,57.3,4.06212312340297,46.7902503902205,0.00256884482668715,10.0397902740296,2.18712730701309,26.1122245243221,0.175329834088211,4.06102294029709,0.854350153884837
"Merch Stem Wood Volume","ST_WD_CV_MER","CA_Mixed_Conifer_Group",1845,14.9651490514905,5,57.3,9.15383083179689,13.0842009104399,-0.515186605701228,0.299347213544606,4.48082131625333,9.83369501344943,0.373867941149524,9.16583984598501,0.971541491035422
"Merch Stem Wood+Bark Volume","ST_WDBK_CV_MER","CA_Mixed_Conifer_Group",1910,14.9743979057592,5,57.3,9.31879706795647,11.6811664354315,-0.561177442918721,0.34795788148562,4.86634744303969,8.94307777844114,0.395423133429562,9.33324343187894,0.978319896367641
"Sawlog Bark Volume","ST_BK_CV_SAW","CA_Mixed_Conifer_Group",1514,16.6804491413474,9,57.3,4.44208401323862,49.7238733371741,-0.109150187459715,8.44740301090665,2.5716197607332,27.004125734436,0.189850601623243,4.44195801939718,0.834101981961648
"Sawlog Wood Volume","ST_WD_CV_SAW","CA_Mixed_Conifer_Group",1514,16.6804491413474,9,57.3,10.1818115072602,14.5554360580994,-0.766037508308956,0.614040957484849,5.49318269320615,10.7885767810676,0.418869974406182,10.2072339673867,0.966819131959314
"Sawlog Wood+Bark Volume","ST_WDBK_CV_SAW","CA_Mixed_Conifer_Group",1565,16.7045367412141,9,57.3,10.4287111056174,13.0156085176714,-0.931617775382875,-0.0258658949731538,6.01285067574718,9.80249464632732,0.447598402681707,10.4669208970133,0.974172869096327
