"VAR2","VAR3","STATE","N","Avg_DBH","Min_DBH","Max_DBH","SD(PE)","SD(PE%)","MEAN(PE)","MEAN(PE%)","MEAN(APE)","MEAN(APE%)","SIGMA","RMSE","FI"
"Sawlog Wood+Bark Volume","ST_WDBK_CV_SAW","MO",609,13.9699507389163,9,29.4,4.31763140051024,13.7955985580329,-1.53255576427732,-3.8526133569371,3.22333143952356,10.8345145681702,0.293210865270016,4.5782155192695,0.939828782950892
"Stump Bark Volume","SP_BK_CV","MO",719,12.8168289290681,5,29.4,0.0983418017027427,74.4347237022334,0.0227221891740726,34.8629829607736,0.0721360435565156,54.1564225483553,0.00700889686097164,0.100866035235837,0.152452186223276
"Stump Wood Volume","SP_WD_CV","MO",1812,11.9098785871965,3.6,38.7,0.336843843163891,20.0047957198111,0.0461143529730332,5.47795925246262,0.193388793673948,15.5374813238811,0.0204703536685355,0.339893645498627,0.900873236983921
"Stump Wood+Bark Volume","SP_WDBK_CV","MO",967,11.6749741468459,4,29.4,0.33074486095527,21.7443103514843,0.0980266924339675,11.2972954600561,0.222823623805842,19.0286489695842,0.0232448552149849,0.344801783899078,0.855611768856171
"Total Stem Bark Volume","ST_BK_CV_TOT","MO",719,12.8168289290681,5,29.4,1.83852235390156,59.5823123831363,0.0768106134903127,18.5199820875392,1.23204798762441,40.8470666923245,0.118581822222666,1.83884831181136,0.472333439726198
"Total Stem Wood Volume","ST_WD_CV_TOT","MO",1812,11.9098785871965,3.6,38.7,4.33326752154001,10.4278364060864,-0.131099596680379,0.372657179507667,2.12069966206408,7.75608099265438,0.222733236183534,4.33405489354199,0.975480047300482
"Total Stem Wood+Bark Volume","ST_WDBK_CV_TOT","MO",967,11.6749741468459,4,29.4,3.19548373832196,10.4754689276575,-0.273336581397961,0.746016982816104,1.95267613528972,7.89842941967398,0.207006052041087,3.20550614194772,0.976389799417164
"Merch Stem Bark Volume","ST_BK_CV_MER","IN",140,16.5071428571429,7.2,29.5,4.3016385045254,39.7085381469492,-1.99447319126944,-10.6813153733236,2.99856124552455,30.8193534527747,0.239580099363794,4.72756227199261,0.386938697300077
"Merch Stem Wood Volume","ST_WD_CV_MER","IN",147,16.534693877551,7.2,29.5,6.81889488211553,11.1864808410933,0.749455606398626,1.07869346555145,4.55885189047418,8.69176321464852,0.332807874871375,6.83686351842371,0.963439883646504
"Merch Stem Wood+Bark Volume","ST_WDBK_CV_MER","IN",266,13.3872180451128,5,29.5,6.17307517753464,13.9937457429766,-0.276103034394388,1.77461125814346,3.78740334333858,10.4165097178213,0.331123621302539,6.1676438914418,0.975515769476764
"Sawlog Bark Volume","ST_BK_CV_SAW","IN",127,17.303937007874,11.3,29.5,4.24134593852426,41.4964182862966,-1.9228655345931,-10.2086694523317,2.97764486515448,32.0867895412352,0.230195101320214,4.64163564318069,0.363630431803503
"Sawlog Wood Volume","ST_WD_CV_SAW","IN",135,17.2222222222222,11.3,29.5,7.25835615982166,13.5553495378771,-0.0640062705095915,-0.867258180656634,4.97634532973562,10.286859851679,0.359882496044068,7.23170664939792,0.957933052464409
"Sawlog Wood+Bark Volume","ST_WDBK_CV_SAW","IN",171,16.4947368421053,9,29.5,7.86296201796011,17.5174959890157,-1.16631262493498,-0.757777693228287,5.61089459628489,12.1773393682582,0.420082387660034,7.92621601240725,0.957919919305244
"Stump Bark Volume","SP_BK_CV","IN",140,16.5071428571429,7.2,29.5,0.139727853022492,74.4665822922999,0.00930856620088765,27.6463058016862,0.0987907367853556,48.8959067280454,0.00733550207285175,0.139538761926276,0.386819540641595
"Stump Wood Volume","SP_WD_CV","IN",167,16.5245508982036,7.2,29.5,0.594242042740438,27.6162437506971,-0.00146767866041194,5.38916631882821,0.410295958493806,20.286859849609,0.0315374665796846,0.59246202142756,0.777458733952982
"Stump Wood+Bark Volume","SP_WDBK_CV","IN",266,13.3872180451128,5,29.5,0.474006648689532,26.3277902372273,0.107250701718461,13.7011417057206,0.308705109142813,21.6512148673854,0.0274409914872079,0.485118898527924,0.872415587335021
"Total Stem Bark Volume","ST_BK_CV_TOT","IN",140,16.5071428571429,7.2,29.5,4.39751115170245,39.6399008572477,-2.00892408820135,-10.0755857520665,3.06570758595077,30.5473874442265,0.244205542435403,4.8203476020786,0.389742615293754
"Total Stem Wood Volume","ST_WD_CV_TOT","IN",167,16.5245508982036,7.2,29.5,6.61099347937919,11.2326033760431,0.782996940755691,1.32185886534432,4.55204783067842,8.63840170794862,0.332378535265944,6.63751542377914,0.964153150563113
"Total Stem Wood+Bark Volume","ST_WDBK_CV_TOT","IN",266,13.3872180451128,5,29.5,6.1328347850797,12.6874375959388,-0.126359509399471,2.1610058673215,3.80750661477428,9.59721662457051,0.331889840213943,6.12260010120304,0.977248560221554
"Merch Stem Bark Volume","ST_BK_CV_MER","PA",919,14.2781284004353,5,37,2.43229064907061,50.4516464243301,-0.0105367494421673,16.8917130962576,1.49689726106077,33.6271734611695,0.129816319260032,2.43098978844431,0.829658342053773
"Merch Stem Wood Volume","ST_WD_CV_MER","PA",919,14.2781284004353,5,37,6.23116174309635,11.9747172894865,-0.352105892619288,0.209914785368157,3.74889161552486,9.04293850046274,0.318368077289609,6.23771637977243,0.973562941814112
"Merch Stem Wood+Bark Volume","ST_WDBK_CV_MER","PA",1200,14.5125,5,44,13.2436355757945,12.176093417206,1.16959308468676,1.29066006730943,5.32169335320909,9.22960498413381,0.462988825384383,13.2896828283752,0.956983475070268
"Sawlog Bark Volume","ST_BK_CV_SAW","PA",676,16.4794378698225,9,37,2.63810659539591,53.9418849269784,0.0652183865670232,19.0251011559574,1.74306515020474,35.4923906949298,0.133879797761424,2.6369612380286,0.806997562854272
"Sawlog Wood Volume","ST_WD_CV_SAW","PA",676,16.4794378698225,9,37,7.62732728138115,14.6259533421635,-1.20571432122517,-1.08682638451449,5.26397083694972,11.0499371031143,0.396457883146908,7.71646351189718,0.958311014869531
"Sawlog Wood+Bark Volume","ST_WDBK_CV_SAW","PA",861,17.0617886178862,9,44,15.9532078738822,15.0348799436121,0.953094026341707,0.20223449422294,7.6274647880747,11.322656007179,0.569502212928461,15.9724023722162,0.945457453555281
"Stump Bark Volume","SP_BK_CV","PA",924,14.2150432900433,1.2,37,0.142358591105612,64.4864816447611,0.0434309467910743,39.7749841705602,0.0713010002905052,48.9705732403748,0.00675638386804193,0.148762504464141,0.340861208039111
"Stump Wood Volume","SP_WD_CV","PA",925,14.2142702702703,1.2,37,0.574080946172595,20.8412585031268,-0.114523284463136,2.87020736352046,0.298952816149002,16.0841817669802,0.0299647642285181,0.58508821959131,0.83913398565784
"Stump Wood+Bark Volume","SP_WDBK_CV","PA",1260,14.0068253968254,1.2,44,0.639939178427353,20.3098493929871,0.0176803305119881,7.42604786182629,0.328829689894411,16.757911384525,0.0294496739163841,0.63992947157657,0.854718889839448
"Total Stem Bark Volume","ST_BK_CV_TOT","PA",924,14.2150432900433,1.2,37,2.48128871795355,49.756378664878,0.0283540397178058,17.020108865186,1.52359393682575,32.8345264405829,0.132605099291428,2.48010775103923,0.830381251916173
"Total Stem Wood Volume","ST_WD_CV_TOT","PA",925,14.2142702702703,1.2,37,6.25867449020873,11.3121393673375,-0.402530208301708,0.519228331509561,3.76326213410889,8.49139669822497,0.320571502219382,6.2682286101471,0.974981553706995
"Total Stem Wood+Bark Volume","ST_WDBK_CV_TOT","PA",1260,14.0068253968254,1.2,44,13.1874962867558,11.2723320925736,1.18816833057361,1.76386582137312,5.08740386003341,8.56223461683184,0.456532854970778,13.2357009047187,0.958465348976021
"Merch Stem Bark Volume","ST_BK_CV_MER","VT",139,12.1244604316547,5,22.5,2.20189573327364,96.4151222071161,0.946119598244151,48.7881372975734,1.23028650532522,54.7878658671042,0.129846683168131,2.38926912168296,0.4155487889881
"Merch Stem Wood Volume","ST_WD_CV_MER","VT",139,12.1244604316547,5,22.5,4.94175553372973,15.2894339452367,0.187044170606824,4.26235740532248,2.81553867024923,11.5553218125621,0.281654855615667,4.92749865604108,0.963780296418953
"Merch Stem Wood+Bark Volume","ST_WDBK_CV_MER","VT",407,12.0179361179361,5,28,5.00093036299516,15.9451321070439,1.6963339356154,6.5662897012023,3.05249743455167,12.4365501248071,0.305430102578522,5.27497918422944,0.953918105323355
"Sawlog Bark Volume","ST_BK_CV_SAW","VT",74,16.0567567567568,9.4,22.5,2.70955648428176,118.641336688393,1.47650182611187,64.3393359962753,1.91303380166907,71.5151730768162,0.160526626744595,3.06961591592529,0.0247969722715793
"Sawlog Wood Volume","ST_WD_CV_SAW","VT",74,16.0567567567568,9.4,22.5,6.98808388206242,15.3909225407212,-0.819749156541641,0.619695613147332,4.91319778480858,12.0278675810091,0.390366002644129,6.98894808551931,0.91719576329393
"Sawlog Wood+Bark Volume","ST_WDBK_CV_SAW","VT",242,15.2070247933884,9,31.5,6.63807351864219,18.9884421589942,1.98021033857347,5.93014332184333,4.66777530096782,13.9780467449215,0.381731169239843,6.91398367776917,0.930167735367435
"Stump Bark Volume","SP_BK_CV","VT",179,10.1614525139665,1.1,22.5,0.0904321227455777,122.145048198214,0.0523900155512337,67.340759437005,0.0611338430771112,77.7222883635173,0.00612827256133878,0.104292835693819,-0.135214733726678
"Stump Wood Volume","SP_WD_CV","VT",179,10.1614525139665,1.1,22.5,0.379251832236776,23.1033818423145,-0.0428664093107129,0.646748415527905,0.193012446646165,18.0194879276192,0.024285525322856,0.380612599427056,0.877192863351212
"Stump Wood+Bark Volume","SP_WDBK_CV","VT",457,11.2457330415755,1.1,31.5,0.334321351110177,20.4819799883956,0.0549198330480564,8.40076924235028,0.204062646628578,17.8313862158018,0.0216488657732614,0.338441101065272,0.910785532835156
"Total Stem Bark Volume","ST_BK_CV_TOT","VT",218,9.91238532110092,1.1,26,2.06952465889752,81.4355104293058,0.762299288619751,36.2064601055258,0.958536480210903,45.1273594975208,0.115597559906467,2.20099660170375,0.479947618333676
"Total Stem Wood Volume","ST_WD_CV_TOT","VT",218,9.91238532110092,1.1,26,4.5643585420491,14.0384268747022,0.651869659255785,4.09826738068511,2.32353373250026,11.0744644118329,0.25725771653031,4.60029749479833,0.968558609467764
"Total Stem Wood+Bark Volume","ST_WDBK_CV_TOT","VT",496,11.0510080645161,1.1,31.5,5.05801095545431,14.0393568633784,1.80418084409993,5.98624817676184,2.85675524426958,11.260060079822,0.298808073428847,5.36534842832888,0.958977143089127
"Merch Stem Bark Volume","ST_BK_CV_MER","VA",11608,10.3117591316334,5,44.4,1.56742028630319,54.5457882155595,-0.217729165323389,3.41689738985823,0.824130815387163,26.4049191851889,0.0968544731594403,1.58240345539939,0.858220385356922
"Merch Stem Wood Volume","ST_WD_CV_MER","VA",11608,10.3117591316334,5,44.4,3.49167603700804,17.2760330979071,0.148274013581453,1.30883687223081,1.81637574103035,12.7859250341995,0.207272656272249,3.4946725794393,0.972116301084466
"Merch Stem Wood+Bark Volume","ST_WDBK_CV_MER","VA",12678,10.5677867171478,5,44.4,4.0647930451991,14.9095703637741,-0.256959361415343,-0.52754295184627,2.11996506583563,11.0109032119841,0.238860694564815,4.07274690700631,0.975288679622825
"Stump Bark Volume","SP_BK_CV","VA",12979,9.52655058170891,1,44.4,0.101995630824871,57.1574420256958,-0.0149413816415776,7.11599932660672,0.0602024047695745,36.3555264845641,0.00744849697630842,0.103080318484208,0.72617461617372
"Stump Wood Volume","SP_WD_CV","VA",12979,9.52655058170891,1,44.4,0.327089062495299,20.6672887747065,-0.061587554058578,-4.12546202359064,0.154044359603759,16.1760706474111,0.020772461566144,0.332824335820499,0.904157525493728
"Stump Wood+Bark Volume","SP_WDBK_CV","VA",14067,9.80988839127035,1,44.4,0.373730318995266,20.7618706245462,-0.0627699726335597,-3.44773059348343,0.186870637227076,16.0675610138121,0.0240412718352445,0.378951832796405,0.906226200661462
"Total Stem Bark Volume","ST_BK_CV_TOT","VA",12983,9.52415466379111,1,44.4,1.56167000294577,49.1515145068969,-0.209083463719579,5.78166689925345,0.795507417763989,26.2729969914645,0.0979783445800291,1.5755447458707,0.865609543763239
"Total Stem Wood Volume","ST_WD_CV_TOT","VA",12983,9.52415466379111,1,44.4,3.30122028013136,14.4267666004122,0.152975041984587,1.56084990517103,1.62935023578568,10.9218333828812,0.195743171532685,3.30463572754731,0.976076122680631
"Total Stem Wood+Bark Volume","ST_WDBK_CV_TOT","VA",14071,9.80759718570109,1,44.4,3.83284785462332,11.7811623726743,-0.215629134540014,0.245868898729738,1.87211718731535,8.92269357182185,0.222713498396165,3.83877253269925,0.979006226663117
"Sawlog Bark Volume","ST_BK_CV_SAW","VA",4926,14.2718635809988,9,44.4,2.20431766461977,38.262790604636,-0.472227427448694,0.99023064520126,1.40482896628458,26.7218324504992,0.125297131790684,2.25411372999819,0.793006885504092
"Sawlog Wood Volume","ST_WD_CV_SAW","VA",4926,14.2718635809988,9,44.4,5.52802109668713,20.4682380132301,-0.412257901634365,0.254657188196547,3.66683924235013,15.0271024124673,0.312679234195429,5.54281248157445,0.95165328452612
"Sawlog Wood+Bark Volume","ST_WDBK_CV_SAW","VA",5639,14.4735591416918,9,44.4,6.45087116251687,18.7109774959029,-1.32785100272322,-1.83554274931838,4.41931456011628,13.8648491572691,0.375949597346112,6.58555596817043,0.951369833218058
"Merch Stem Bark Volume","ST_BK_CV_MER","NH",4239,12.6004482189196,5,38,1.73464141428907,42.3623746587917,-0.0537042780512284,8.69331771085761,0.869788509387181,23.939218820589,0.0872168994120205,1.73526803489918,0.89106046751638
"Merch Stem Wood Volume","ST_WD_CV_MER","NH",4239,12.6004482189196,5,38,5.04855092427442,12.4880451457896,-0.654920013606163,-1.43849467185814,2.83087478860007,9.32733447554452,0.271997289545218,5.09026266040065,0.977133680558553
"Merch Stem Wood+Bark Volume","ST_WDBK_CV_MER","NH",4446,12.5485380116959,5,38,5.63929562899296,12.6093329160536,-0.6353336551391,-0.882550282141477,3.12720896743906,9.24026441737593,0.299045162496014,5.67434147506277,0.977854387993675
"Stump Bark Volume","SP_BK_CV","NH",4444,12.2114311431143,2.3,38,0.0901406443186619,157.648374237375,0.0413668425837026,35.3633874626827,0.0529492585104004,44.7992450628049,0.00487678721406555,0.0991701721292467,0.222316746155888
"Stump Wood Volume","SP_WD_CV","NH",4444,12.2114311431143,2.3,38,0.279747298108934,18.1684197730019,0.0906592591823618,7.90856512587852,0.181710104626003,15.5932575999742,0.0166612912483572,0.294040885150042,0.91670613104188
"Stump Wood+Bark Volume","SP_WDBK_CV","NH",4661,12.1626260459129,2.3,38,0.328105759796153,18.2620571371384,0.128397889882883,9.45634892951791,0.21300691599764,16.2757754609939,0.0192408641776052,0.352301449199961,0.90116976261327
"Total Stem Bark Volume","ST_BK_CV_TOT","NH",4444,12.2114311431143,2.3,38,1.72284503422399,40.0750618449757,0.00231345047869012,9.50169170037117,0.848869440103041,22.9793019034051,0.0867290695574934,1.72265273730216,0.894119202056632
"Total Stem Wood Volume","ST_WD_CV_TOT","NH",4444,12.2114311431143,2.3,38,4.95876959760068,11.2502408017361,-0.416915211163676,-0.278445752449474,2.67615230236863,8.43718480757333,0.264323939727953,4.97570910001673,0.979053151446224
"Total Stem Wood+Bark Volume","ST_WDBK_CV_TOT","NH",4661,12.1626260459129,2.3,38,5.51205088245472,11.1404382060276,-0.353341305485808,0.256630183541497,2.93606486317719,8.2757442069912,0.288840674648957,5.52277434936364,0.979825738637704
"Sawlog Bark Volume","ST_BK_CV_SAW","NH",2682,15.4407158836689,9,38,2.10240268757088,46.0203200052469,-0.0554919364627423,9.67271176792537,1.18424884739578,25.5620266632744,0.100407449151446,2.10274305507477,0.86972829341095
"Sawlog Wood Volume","ST_WD_CV_SAW","NH",2682,15.4407158836689,9,38,6.62084741247166,16.5538089074625,-1.00399221006596,-0.299247154852015,4.34722130632585,11.7093050285278,0.351704226793667,6.69531750103042,0.965208589760725
"Sawlog Wood+Bark Volume","ST_WDBK_CV_SAW","NH",2797,15.4015016088666,9,38,7.44313987802674,16.4287558843335,-0.986292053826152,0.0216549343178958,4.86281504679831,11.6735032608094,0.390034924871271,7.50688325504543,0.966349332593505
"Stump Wood Volume","SP_WD_CV","OR",1873,13.1921516284036,1,72,0.509732082245473,22.2306168000599,-0.0445859403409163,6.05150688196376,0.208989183837559,17.738840504492,0.0186571899255481,0.511542744533586,0.941121150183942
"Total Stem Wood Volume","ST_WD_CV_TOT","OR",1905,13.2738057742782,1,72,15.149464781597,10.1513551561383,-2.53612977892637,-0.897127805042094,5.16479419463427,7.88731390202674,0.434370714437754,15.3563589983176,0.984826858782491
"Stump Wood Volume","SP_WD_CV","CA",4260,16.6026995305164,1.1,64.5,0.482676264251991,19.5020604772764,-0.00417367135179323,2.67751645194374,0.268857246612331,14.9267215133619,0.0186604546713717,0.482637655301213,0.95096821684114
"Total Stem Wood Volume","ST_WD_CV_TOT","CA",4276,16.5890318054256,1.1,64.5,18.957353918188,12.5126337139033,-0.241510957789202,0.76514291988778,6.93264336706827,9.28919366763766,0.498496003593239,18.9566755785,0.975846003493809
"Merch Stem Bark Volume","ST_BK_CV_MER","CA",3579,16.2944956691813,5,57.3,5.08775658697465,46.0892592728878,0.324954790743906,13.2042677213993,2.73019279952348,27.2038499168682,0.203830504035409,5.0974140662237,0.886121385423652
"Merch Stem Wood Volume","ST_WD_CV_MER","CA",3579,16.2944956691813,5,57.3,10.4671474653402,13.0565264007638,-0.280456862000158,0.819685799496957,5.32695379335909,9.66890886057075,0.403714081880125,10.4694421953251,0.977495583960512
